country,confirmedCases,Deaths,Recoveries,activeCases,dateOf
Syria,58,3,36,19,5/18/2020 2:32
Taiwan,440,7,395,38,5/18/2020 2:32
Tajikistan,1524,39,0,1485,5/18/2020 2:32
Tanzania,509,21,183,305,5/18/2020 2:32
Thailand,3028,56,2856,116,5/18/2020 2:32
Timor-Leste,24,0,24,0,5/18/2020 2:32
Togo,301,11,104,186,5/18/2020 2:32
Trinidad and Tobago,116,8,107,1,5/18/2020 2:32
Tunisia,1037,45,816,176,5/18/2020 2:32
Turkey,149435,4140,109962,35333,5/18/2020 2:32
Uganda,227,0,63,164,5/18/2020 2:32
Ukraine,18291,514,5116,12661,5/18/2020 2:32
United Arab Emirates,23358,220,8512,14626,5/18/2020 2:32
United Kingdom,244995,34716,1058,209221,5/18/2020 2:32
Uruguay,734,20,564,150,5/18/2020 2:32
US,1486757,89562,272265,1122366,5/18/2020 2:32
Uzbekistan,2753,12,2247,494,5/18/2020 2:32
Venezuela,541,10,241,290,5/18/2020 2:32
Vietnam,320,0,260,60,5/18/2020 2:32
West Bank and Gaza,381,2,335,44,5/18/2020 2:32
Western Sahara,6,0,6,0,5/18/2020 2:32
Yemen,128,20,1,107,5/18/2020 2:32
Zambia,753,7,188,558,5/18/2020 2:32
Zimbabwe,44,4,17,23,5/18/2020 2:32
Global,4713620,315185,1733963,2661908,5/18/2020 2:32
